j ratio accept a b
208 2.31637085886e-19 False 0.49666306857693443 0.6080223406488465
209 0.000142872724443 False 0.49666306857693443 0.6080223406488465
210 1.54733465331e-06 False 0.49666306857693443 0.6080223406488465
211 0.000794467428295 False 0.49666306857693443 0.6080223406488465
212 2.04884433254e-26 False 0.49666306857693443 0.6080223406488465
213 1.15263291521e-18 False 0.49666306857693443 0.6080223406488465
214 1.2634076761e-09 False 0.49666306857693443 0.6080223406488465
215 0.274563310345 True 0.5148642497877256 0.582211170588647
216 8.01153645278e-14 False 0.5148642497877256 0.582211170588647
217 0.00573318633553 False 0.5148642497877256 0.582211170588647
218 7.0062045045e-36 False 0.5148642497877256 0.582211170588647
219 0.0183825145214 False 0.5148642497877256 0.582211170588647
220 3.03256963182 True 0.5049133045718569 0.5915015384047305
221 1.83300218879e-09 False 0.5049133045718569 0.5915015384047305
222 0.00034299448613 False 0.5049133045718569 0.5915015384047305
223 7.76941511229e-13 False 0.5049133045718569 0.5915015384047305
224 2.33180221829e-17 False 0.5049133045718569 0.5915015384047305
225 2.21176910169e-27 False 0.5049133045718569 0.5915015384047305
226 2.22738030637e-18 False 0.5049133045718569 0.5915015384047305
227 6.63795622094e-16 False 0.5049133045718569 0.5915015384047305
228 0.00422124446602 False 0.5049133045718569 0.5915015384047305
229 0.0162519021505 False 0.5049133045718569 0.5915015384047305
230 0.000644242047312 False 0.5049133045718569 0.5915015384047305
231 2.5013331129e-12 False 0.5049133045718569 0.5915015384047305
232 0.000451700239584 False 0.5049133045718569 0.5915015384047305
233 0.836752667816 True 0.5056039242531591 0.6105862222828609
234 7.45634631081e-26 False 0.5056039242531591 0.6105862222828609
235 0.128288905167 True 0.5099155857674504 0.6379122943845323
236 0.000623439501675 False 0.5099155857674504 0.6379122943845323
237 0.00421028230055 False 0.5099155857674504 0.6379122943845323
238 4.93039306717e-33 False 0.5099155857674504 0.6379122943845323
239 1.3152279972 True 0.5016566426796069 0.6424754826155861
240 7.15661557412e-06 False 0.5016566426796069 0.6424754826155861
241 5.33726969775e-05 False 0.5016566426796069 0.6424754826155861
242 7.83491012335 True 0.5016154946856445 0.589587963911142
243 0.564089053693 True 0.5092117387312678 0.5836088626916126
244 0.291928204081 False 0.5092117387312678 0.5836088626916126
245 2.11535583199e-25 False 0.5092117387312678 0.5836088626916126
246 6.78379279531e-07 False 0.5092117387312678 0.5836088626916126
247 1.19518977923e-05 False 0.5092117387312678 0.5836088626916126
248 1.39004447686e-06 False 0.5092117387312678 0.5836088626916126
249 0.00403309606363 False 0.5092117387312678 0.5836088626916126
250 0.169572370661 False 0.5092117387312678 0.5836088626916126
251 0.0175144577557 False 0.5092117387312678 0.5836088626916126
252 1.11844253246e-06 False 0.5092117387312678 0.5836088626916126
253 6.41559051374e-39 False 0.5092117387312678 0.5836088626916126
254 8.71929582777e-06 False 0.5092117387312678 0.5836088626916126
255 2.79584001145e-13 False 0.5092117387312678 0.5836088626916126
256 3.07730805888e-08 False 0.5092117387312678 0.5836088626916126
257 2.33112769558e-07 False 0.5092117387312678 0.5836088626916126
258 2.00332135171e-22 False 0.5092117387312678 0.5836088626916126
259 1.07767697167e-13 False 0.5092117387312678 0.5836088626916126
260 6.0498034249e-05 False 0.5092117387312678 0.5836088626916126
261 0.0367905717038 False 0.5092117387312678 0.5836088626916126
262 7.46585843902e-11 False 0.5092117387312678 0.5836088626916126
263 3.25758407135e-40 False 0.5092117387312678 0.5836088626916126
264 4.21886481251e-06 False 0.5092117387312678 0.5836088626916126
265 2.26043806847e-07 False 0.5092117387312678 0.5836088626916126
266 4.24693837916e-18 False 0.5092117387312678 0.5836088626916126
267 1.80234637053e-06 False 0.5092117387312678 0.5836088626916126
268 3.03005323614e-05 False 0.5092117387312678 0.5836088626916126
269 5.50528761019e-14 False 0.5092117387312678 0.5836088626916126
270 1.78020285169e-25 False 0.5092117387312678 0.5836088626916126
271 7.41479348429e-07 False 0.5092117387312678 0.5836088626916126
272 0.00102717060795 False 0.5092117387312678 0.5836088626916126
273 1.40475575149e-13 False 0.5092117387312678 0.5836088626916126
274 5.34017663786e-15 False 0.5092117387312678 0.5836088626916126
275 1.55977510527e-07 False 0.5092117387312678 0.5836088626916126
276 2.83795403908e-05 False 0.5092117387312678 0.5836088626916126
277 5.29993180195e-26 False 0.5092117387312678 0.5836088626916126
278 0.000568340447639 False 0.5092117387312678 0.5836088626916126
279 0.0549917634172 False 0.5092117387312678 0.5836088626916126
280 1.5058322719e-28 False 0.5092117387312678 0.5836088626916126
281 6.28519057608e-05 False 0.5092117387312678 0.5836088626916126
282 4.12451761514e-09 False 0.5092117387312678 0.5836088626916126
283 1.97995566694e-09 False 0.5092117387312678 0.5836088626916126
284 1.00806643926e-07 False 0.5092117387312678 0.5836088626916126
285 5.40383450066e-21 False 0.5092117387312678 0.5836088626916126
286 1.81179519596e-35 False 0.5092117387312678 0.5836088626916126
287 2.06375991783e-07 False 0.5092117387312678 0.5836088626916126
288 3.60262717988e-14 False 0.5092117387312678 0.5836088626916126
289 3.95828546332e-15 False 0.5092117387312678 0.5836088626916126
290 9.11266532988e-06 False 0.5092117387312678 0.5836088626916126
291 8.33157388058e-09 False 0.5092117387312678 0.5836088626916126
292 2.31675688951e-15 False 0.5092117387312678 0.5836088626916126
293 9.76802283468e-14 False 0.5092117387312678 0.5836088626916126
294 4.16247590927e-14 False 0.5092117387312678 0.5836088626916126
295 8.91859881101e-06 False 0.5092117387312678 0.5836088626916126
296 0.00535848211331 False 0.5092117387312678 0.5836088626916126
297 1.17372159975 True 0.49168023600312416 0.5810763938042376
298 1.39274038949e-12 False 0.49168023600312416 0.5810763938042376
299 4.76938437328e-06 False 0.49168023600312416 0.5810763938042376
300 5.27946360964e-13 False 0.49168023600312416 0.5810763938042376
301 1.28072901717 True 0.5021026584751083 0.6132724792599237
302 0.000206495303521 False 0.5021026584751083 0.6132724792599237
303 3.18006609838e-07 False 0.5021026584751083 0.6132724792599237
304 1.35932028606e-16 False 0.5021026584751083 0.6132724792599237
305 0.011482132994 False 0.5021026584751083 0.6132724792599237
306 3.99203135677e-33 False 0.5021026584751083 0.6132724792599237
307 1.22337197459e-62 False 0.5021026584751083 0.6132724792599237
308 1.11541328626e-14 False 0.5021026584751083 0.6132724792599237
309 0.00018944682598 False 0.5021026584751083 0.6132724792599237
310 2.88438785344e-05 False 0.5021026584751083 0.6132724792599237
311 1.49476280519e-08 False 0.5021026584751083 0.6132724792599237
312 1.67460127847e-09 False 0.5021026584751083 0.6132724792599237
313 5.76686730946e-27 False 0.5021026584751083 0.6132724792599237
314 1.32706986091e-05 False 0.5021026584751083 0.6132724792599237
315 5.32627891508e-05 False 0.5021026584751083 0.6132724792599237
316 0.00100737087761 False 0.5021026584751083 0.6132724792599237
317 5.06988505573e-32 False 0.5021026584751083 0.6132724792599237
318 6.82234943085e-22 False 0.5021026584751083 0.6132724792599237
319 2.03471442794e-08 False 0.5021026584751083 0.6132724792599237
320 3.62455649068e-25 False 0.5021026584751083 0.6132724792599237
321 7.29329695407e-14 False 0.5021026584751083 0.6132724792599237
322 0.140468670269 False 0.5021026584751083 0.6132724792599237
323 1.12628257322e-08 False 0.5021026584751083 0.6132724792599237
324 0.000107047836015 False 0.5021026584751083 0.6132724792599237
325 1.06601009489e-12 False 0.5021026584751083 0.6132724792599237
326 0.000296614962782 False 0.5021026584751083 0.6132724792599237
327 5.97437453381e-26 False 0.5021026584751083 0.6132724792599237
328 7.36709685004e-14 False 0.5021026584751083 0.6132724792599237
329 5.6663183801e-22 False 0.5021026584751083 0.6132724792599237
330 1.6357609291e-12 False 0.5021026584751083 0.6132724792599237
331 1.03882775051e-09 False 0.5021026584751083 0.6132724792599237
332 1.3163647496e-16 False 0.5021026584751083 0.6132724792599237
333 2.11831483281e-14 False 0.5021026584751083 0.6132724792599237
334 0.000213770066128 False 0.5021026584751083 0.6132724792599237
335 3.38272801004e-33 False 0.5021026584751083 0.6132724792599237
336 4.77082239512e-21 False 0.5021026584751083 0.6132724792599237
337 4.42051584156e-19 False 0.5021026584751083 0.6132724792599237
338 1.6402016929e-10 False 0.5021026584751083 0.6132724792599237
339 1.61852373176e-12 False 0.5021026584751083 0.6132724792599237
340 2.77264568064e-18 False 0.5021026584751083 0.6132724792599237
341 1.42024230258e-23 False 0.5021026584751083 0.6132724792599237
342 0.0850261219266 False 0.5021026584751083 0.6132724792599237
343 0.088571513772 False 0.5021026584751083 0.6132724792599237
344 1.26199142296 True 0.5023118659659126 0.597441537465716
345 0.163016450186 False 0.5023118659659126 0.597441537465716
346 1.56754013008e-05 False 0.5023118659659126 0.597441537465716
347 0.00119619162908 False 0.5023118659659126 0.597441537465716
348 3.04941477334e-25 False 0.5023118659659126 0.597441537465716
349 0.000405892445071 False 0.5023118659659126 0.597441537465716
350 9.47100864799e-26 False 0.5023118659659126 0.597441537465716
351 6.10086747707e-20 False 0.5023118659659126 0.597441537465716
352 0.00292002882021 False 0.5023118659659126 0.597441537465716
353 0.279432464571 False 0.5023118659659126 0.597441537465716
354 2.4613663831e-25 False 0.5023118659659126 0.597441537465716
355 2.16489853377e-19 False 0.5023118659659126 0.597441537465716
356 0.82181590854 True 0.48940479267107995 0.6073838698640662
357 0.0435853099038 False 0.48940479267107995 0.6073838698640662
358 0.284027333996 False 0.48940479267107995 0.6073838698640662
359 0.000157346010814 False 0.48940479267107995 0.6073838698640662
360 7.17563210586e-11 False 0.48940479267107995 0.6073838698640662
361 1.09365337668e-20 False 0.48940479267107995 0.6073838698640662
362 4.72015126482e-10 False 0.48940479267107995 0.6073838698640662
363 0.000365524000424 False 0.48940479267107995 0.6073838698640662
364 4.07046873716e-15 False 0.48940479267107995 0.6073838698640662
365 2.68196560227e-34 False 0.48940479267107995 0.6073838698640662
366 1.30913556792e-10 False 0.48940479267107995 0.6073838698640662
367 5.7370046914e-31 False 0.48940479267107995 0.6073838698640662
368 0.0768256713202 False 0.48940479267107995 0.6073838698640662
369 6.01377323212e-05 False 0.48940479267107995 0.6073838698640662
370 0.00297542758557 False 0.48940479267107995 0.6073838698640662
371 2.08836722743e-17 False 0.48940479267107995 0.6073838698640662
372 2.86016594529e-14 False 0.48940479267107995 0.6073838698640662
373 0.613146480276 True 0.5085021029943454 0.6137039339573434
374 0.891587206942 True 0.512435552224265 0.5911880779848523
375 4.7131347495e-35 False 0.512435552224265 0.5911880779848523
376 0.301364709329 True 0.49094373312552375 0.642593099179948
377 1.32122435022e-07 False 0.49094373312552375 0.642593099179948
378 0.120507947431 False 0.49094373312552375 0.642593099179948
379 0.00251271960278 False 0.49094373312552375 0.642593099179948
380 3.14486658213e-37 False 0.49094373312552375 0.642593099179948
381 0.00474994395522 False 0.49094373312552375 0.642593099179948
382 1.59608760068e-14 False 0.49094373312552375 0.642593099179948
383 0.084619804117 False 0.49094373312552375 0.642593099179948
384 4.85498197888e-14 False 0.49094373312552375 0.642593099179948
385 2.32345762509e-20 False 0.49094373312552375 0.642593099179948
386 0.00010000336419 False 0.49094373312552375 0.642593099179948
